ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-13T07:15:09.935552-07:00,KXBTC15M,KXBTC15M-26APR131015-15,no,1,65.0,2.0,no,true,-65.0,65.0,-100.0
2026-04-13T07:30:09.937299-07:00,KXETH15M,KXETH15M-26APR131030-30,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T07:45:09.887335-07:00,KXBTC15M,KXBTC15M-26APR131045-45,no,1,97.3,0.7,yes,false,2.700000000000003,97.3,2.774923
2026-04-13T08:15:30.678547-07:00,KXSOL15M,KXSOL15M-26APR131115-15,yes,1,99.0,0.0,yes,false,-99.0,99.0,-100.0
2026-04-13T08:15:30.694432-07:00,KXBTC15M,KXBTC15M-26APR131115-15,yes,1,98.0,1.0,yes,true,-98.0,98.0,-100.0
2026-04-13T08:15:30.696957-07:00,KXXRP15M,KXXRP15M-26APR131115-15,yes,1,98.1,0.9,yes,false,-98.1,98.1,-100.0
2026-04-13T08:30:20.138823-07:00,KXBTC15M,KXBTC15M-26APR131130-30,no,1,92.0,1.0,yes,true,8.0,92.0,8.695652
2026-04-13T08:30:20.144737-07:00,KXXRP15M,KXXRP15M-26APR131130-30,yes,1,97.2,0.8,yes,false,-97.2,97.2,-100.0
2026-04-13T08:45:10.524598-07:00,KXETH15M,KXETH15M-26APR131145-45,yes,1,98.1,0.9,no,true,1.9000000000000057,98.1,1.936799
2026-04-13T08:45:10.525386-07:00,KXSOL15M,KXSOL15M-26APR131145-45,yes,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T08:45:10.537612-07:00,KXBTC15M,KXBTC15M-26APR131145-45,no,1,97.1,0.9,no,true,2.9000000000000057,97.1,2.986612
2026-04-13T09:00:19.372525-07:00,KXXRP15M,KXXRP15M-26APR131200-00,no,1,98.6,0.4,yes,false,1.4000000000000057,98.6,1.419878
2026-04-13T09:15:09.869428-07:00,KXSOL15M,KXSOL15M-26APR131215-15,no,1,98.6,0.4,yes,false,1.4000000000000057,98.6,1.419878
2026-04-13T09:15:09.872004-07:00,KXETH15M,KXETH15M-26APR131215-15,no,1,97.8,0.2,yes,false,2.200000000000003,97.8,2.249489
2026-04-13T09:30:19.872632-07:00,KXXRP15M,KXXRP15M-26APR131230-30,no,1,97.2,0.8,yes,false,2.799999999999997,97.2,2.880658
2026-04-13T09:30:19.874649-07:00,KXSOL15M,KXSOL15M-26APR131230-30,no,1,98.8,0.2,yes,false,1.2000000000000028,98.8,1.214575
2026-04-13T09:30:19.886094-07:00,KXBTC15M,KXBTC15M-26APR131230-30,no,1,97.1,0.9,yes,false,2.9000000000000057,97.1,2.986612
2026-04-13T09:30:19.888621-07:00,KXETH15M,KXETH15M-26APR131230-30,no,1,97.6,0.4,yes,false,2.4000000000000057,97.6,2.459016
2026-04-13T09:45:19.934769-07:00,KXBTC15M,KXBTC15M-26APR131245-45,no,1,98.9,0.1,yes,false,1.0999999999999943,98.9,1.112235
