ts_local,buy_count,cost_cents,fill_side,pnl_cents,series,contract_cost,percent_gain
2026-03-23T18:00:10.852877-07:00,14,1320.1999999999998,yes,79.80000000000018,KXBTC15M,94.3,6.044539
2026-03-23T18:30:10.805352-07:00,14,1321.6,yes,78.40000000000009,KXBTC15M,94.4,5.932203
2026-03-23T18:45:10.789315-07:00,17,1326.0,no,374.0,KXXRP15M,78.0,28.205128
2026-03-23T18:45:10.807293-07:00,13,1279.2,no,20.799999999999955,KXBTC15M,98.4,1.626016
2026-03-23T19:00:10.820505-07:00,18,1458.0,yes,342.0,KXXRP15M,81.0,23.45679
2026-03-23T19:30:10.820069-07:00,16,1456.0,yes,144.0,KXETH15M,91.0,9.89011
2026-03-23T20:00:10.792257-07:00,4,324.0,no,76.0,KXXRP15M,81.0,23.45679
2026-03-23T20:00:10.817895-07:00,14,1377.6000000000001,no,22.399999999999864,KXBTC15M,98.4,1.626016
2026-03-23T20:15:10.796424-07:00,18,1458.0,yes,342.0,KXXRP15M,81.0,23.45679
2026-03-23T20:30:10.799662-07:00,19,1539.0,yes,361.0,KXXRP15M,81.0,23.45679
2026-03-23T21:02:30.412361-07:00,16,1553.6,yes,46.40000000000009,KXBTC15M,97.1,2.986612
2026-03-23T21:15:10.811589-07:00,17,1586.1000000000001,yes,113.89999999999986,KXBTC15M,93.3,7.181136
2026-03-23T21:30:10.810344-07:00,16,1558.3999999999999,no,41.600000000000136,KXBTC15M,97.4,2.669405
2026-03-23T21:45:10.830833-07:00,17,1603.1,no,96.90000000000009,KXBTC15M,94.3,6.044539
2026-03-23T22:00:11.118804-07:00,14,1359.3999999999999,yes,40.600000000000136,KXBTC15M,97.1,2.986612
2026-03-23T22:00:11.126932-07:00,19,1558.0,no,-1558.0,KXXRP15M,82.0,-100.0
2026-03-23T22:15:10.807754-07:00,15,1459.2,no,40.799999999999955,KXBTC15M,97.28,2.796053
2026-03-23T22:15:10.811457-07:00,16,1264.0,no,-1264.0,KXXRP15M,79.0,-100.0
2026-03-23T22:45:10.805296-07:00,13,1263.6,yes,36.40000000000009,KXBTC15M,97.2,2.880658
2026-03-23T23:00:10.799807-07:00,16,1296.0,yes,304.0,KXXRP15M,81.0,23.45679
2026-03-23T23:00:10.813417-07:00,12,1165.1999999999998,no,34.80000000000018,KXBTC15M,97.1,2.986612
2026-03-23T23:15:10.809504-07:00,14,1320.2,yes,79.79999999999995,KXBTC15M,94.3,6.044539
2026-03-23T23:30:10.811504-07:00,14,1306.2000000000003,yes,93.79999999999973,KXBTC15M,93.3,7.181136
2026-03-24T01:00:10.804066-07:00,14,1320.1999999999998,yes,79.80000000000018,KXBTC15M,94.3,6.044539
2026-03-24T01:15:10.798573-07:00,14,1320.2,no,79.79999999999995,KXBTC15M,94.3,6.044539
2026-03-24T01:30:10.795617-07:00,14,1311.8,no,88.20000000000005,KXBTC15M,93.7,6.723586
2026-03-24T01:45:10.803206-07:00,15,1414.5,yes,85.5,KXBTC15M,94.3,6.044539
2026-03-24T02:00:10.805219-07:00,15,1415.9999999999998,no,84.00000000000023,KXBTC15M,94.4,5.932203
2026-03-24T02:30:10.807422-07:00,14,1359.3999999999999,yes,40.600000000000136,KXBTC15M,97.1,2.986612
2026-03-24T02:45:10.800098-07:00,14,1362.1999999999998,yes,37.80000000000018,KXBTC15M,97.3,2.774923
2026-03-24T03:15:10.803564-07:00,14,1366.3999999999999,no,33.600000000000136,KXBTC15M,97.6,2.459016
2026-03-24T03:30:10.793908-07:00,14,1359.3999999999999,no,40.600000000000136,KXBTC15M,97.1,2.986612
2026-03-24T03:30:10.798473-07:00,13,1235.0,yes,-1235.0,KXSOL15M,95.0,-100.0
2026-03-24T03:45:10.803655-07:00,13,1264.8999999999999,yes,35.100000000000136,KXBTC15M,97.3,2.774923
2026-03-24T04:15:10.797625-07:00,13,1237.6,no,62.40000000000009,KXBTC15M,95.2,5.042017
2026-03-24T04:30:10.795753-07:00,16,1296.0,no,-1296.0,KXXRP15M,81.0,-100.0
2026-03-24T04:30:10.806411-07:00,13,1236.3,no,63.700000000000045,KXBTC15M,95.1,5.152471
2026-03-24T05:00:10.804506-07:00,12,1165.1999999999998,no,34.80000000000018,KXBTC15M,97.1,2.986612
2026-03-24T05:15:10.802707-07:00,12,1131.6,no,68.40000000000009,KXBTC15M,94.3,6.044539
2026-03-24T05:45:10.807845-07:00,12,1156.8,no,43.200000000000045,KXBTC15M,96.4,3.73444
